Method,Precision,Recall,F1,PR-AUC,Alerts,TN,FP,FN,TP
Baseline,0.8611111111111112,0.6526315789473685,0.7425149700598802,0.6233542486597701,72,56641,10,33,62
SMOTE,0.19506172839506172,0.8315789473684211,0.316,0.7242381970549283,405,56325,326,16,79
Undersampling,0.044252563410685376,0.8631578947368421,0.08418891170431211,0.5845976070633283,1853,54880,1771,13,82
Class Weight,0.18501170960187355,0.8315789473684211,0.30268199233716475,0.700446607762789,427,56303,348,16,79
